-339	712	595	665	1065	853	641	572	618
-316	712	595	665	1042	853	618	572	618
-316	712	595	665	1042	853	619	572	595
-292	712	595	665	1019	853	619	572	595
-244	699	582	652	982	864	606	559	582
-198	714	596	643	950	879	596	550	596
-154	714	597	644	927	903	597	551	597
-105	701	584	654	890	914	584	538	584
-39	714	597	644	856	951	574	551	574
26	701	583	654	842	1008	583	550	583
91	714	597	550	808	1045	573	527	573
158	644	527	527	786	1094	574	551	574
203	551	482	505	763	1118	575	528	575
278	622	459	551	739	1176	574	528	574
314	622	459	551	716	1189	575	528	598
392	632	492	561	679	1235	561	538	632
467	621	482	551	668	1309	575	551	692
531	621	505	551	645	1356	597	597	597
564	644	482	551	621	1365	644	597	574
560	621	505	528	598	1332	645	528	528
583	575	505	528	598	1355	669	482	598
685	621	528	528	598	1449	692	598	621
731	621	505	482	575	1450	716	551	645
686	621	459	505	645	1507	692	552	668
737	507	368	322	670	1593	694	600	670
684	493	469	469	679	1533	703	562	656
561	587	392	300	681	1416	681	564	587
494	562	447	493	704	1368	680	562	562
431	562	446	470	703	1294	679	609	632
332	562	447	470	727	1224	656	586	586
262	551	436	459	739	1152	669	575	575
203	599	460	414	764	1119	646	599	622
168	528	436	575	786	1105	645	528	575
93	574	459	574	809	1046	644	574	597
23	597	459	597	856	1022	644	574	597
-2	597	459	597	880	1022	644	597	597
-67	620	458	596	925	996	667	573	596
-138	629	468	606	959	959	653	629	583
-205	665	481	619	1005	934	665	642	619
-248	641	503	641	1042	923	665	641	712
-269	688	527	641	1052	910	665	641	712
-320	688	526	664	1089	899	664	641	711
-313	688	527	664	1065	876	664	641	712
-337	689	551	666	1092	878	666	643	713
-363	712	550	688	1114	877	665	642	712
-398	713	551	689	1149	878	666	643	713
-437	690	505	690	1173	865	666	620	713
-416	759	573	688	1171	887	665	642	712
-420	746	561	699	1172	888	676	630	699
-438	688	550	712	1185	877	688	642	712
-417	759	551	712	1185	901	689	643	712
-426	759	573	712	1184	900	688	642	688
-397	746	537	722	1148	911	676	629	699
-353	676	515	723	1125	935	676	630	699
-359	723	561	723	1149	935	699	630	699
-308	746	538	746	1148	982	699	653	723
-259	712	573	735	1137	994	712	665	712
-196	688	550	735	1112	1041	711	665	711
-155	735	573	735	1065	1065	711	642	711
-130	712	596	735	1065	1089	712	642	712
-107	722	596	746	1052	1100	699	653	722
1	745	583	745	1004	1146	721	652	721
53	721	606	745	981	1194	721	652	721
146	721	606	768	957	1242	745	675	721
207	758	596	758	923	1255	734	665	734
256	792	528	769	910	1313	745	676	745
340	782	574	782	900	1349	758	689	758
362	805	574	782	899	1430	758	689	735
424	781	573	781	899	1477	757	688	734
530	744	583	791	886	1525	768	698	744
506	781	574	781	876	1515	781	689	735
468	758	574	782	876	1468	758	688	735
374	792	642	768	863	1407	768	699	745
250	815	629	768	886	1360	768	675	721
166	756	709	779	897	1322	756	686	732
121	732	709	779	920	1298	756	686	732
53	803	709	779	907	1261	756	686	732
-57	872	686	779	943	1227	755	686	732
-155	849	686	779	967	1166	732	686	709
-193	860	696	766	977	1143	743	673	719
-207	850	686	780	991	1133	733	686	710
-209	851	687	757	1003	1122	734	687	711
-210	828	688	758	1017	1112	734	688	711
-229	839	675	745	1028	1099	722	675	722
-234	839	675	745	1051	1098	745	675	721
-232	828	688	758	1040	1087	734	688	734
-276	839	675	745	1051	1074	721	675	721
-177	828	665	734	1040	1088	734	688	734
-230	839	675	745	1027	1098	721	675	721
-183	829	665	734	1041	1112	734	665	734
